年度标识	省份名称	地区生产总值	地区生产总值－房地产业	第一产业占GDP比重(%)	第二产业占GDP比重(%)	第三产业占GDP比重(%)	人均地区生产总值
2013	北京市	19800.8100	1339.5200	.8000	22.3000	76.9000	94647.8813
2013	广东省	62474.7900	4207.4600	4.9000	47.3000	47.8000	58833.0000
2013	上海市	21818.1500	1343.7700	.6000	37.2000	62.2000	90993.0000
2013	内蒙古自治区	16916.5029	414.5900	9.5000	54.0000	36.5000	67835.6008
2013	安徽省	19229.3371	763.5600	12.3000	54.6000	33.0000	32000.8938
2013	贵州省	8086.8600	202.9400	12.9000	40.5000	46.6000	23151.0000
2013	西藏自治区	815.6700	22.7400	10.7000	36.3000	53.0000	26326.0000
2013	辽宁省	27213.2200	1134.4900	8.6000	52.7000	38.7000	61996.1727
2013	吉林省	13046.4000	266.6000	11.6000	52.8000	35.5000	47428.0000
2012	中国	538580.0000	31248.3000	9.1000	45.4000	45.5000	39874.0000
2012	天津市	12893.8800	449.6500	1.3300	51.6800	46.9900	93173.0000
2012	河北省	26575.0100	982.0500	11.9900	52.6900	35.3100	36584.0000
2012	山西省	12112.8300	301.8800	5.7700	55.5700	38.6600	33628.0000
2012	内蒙古自治区	15880.5788	385.2200	9.1200	55.4200	35.4600	63886.0000
2012	辽宁省	24846.4300	1050.0300	8.6800	53.2500	38.0700	56649.0000
2012	吉林省	11939.2400	240.8600	11.8300	53.4100	34.7600	43415.0000
2012	黑龙江省	13691.5800	522.2700	15.4400	44.1000	40.4700	35711.0000
2012	上海市	20181.7200	1147.0400	.6300	38.9200	60.4500	85373.0000
2012	江苏省	54058.2200	2992.8200	6.3200	50.1700	43.5000	68347.0000
2012	浙江省	34665.3300	1927.9300	4.8100	49.9500	45.2400	63374.0000
2012	安徽省	17212.0506	665.7600	12.6600	54.6400	32.7000	28792.0000
2012	福建省	19701.7800	1039.7100	9.0200	51.7100	39.2700	52763.0000
2012	江西省	12948.8800	421.8300	11.7400	53.6200	34.6400	28800.0000
2012	山东省	50013.2449	1984.4900	8.5600	51.4600	39.9800	51768.0000
2012	河南省	29599.3100	1040.7000	12.7400	56.3300	30.9400	31499.0000
2012	湖北省	22250.4500	692.8200	12.8000	50.3100	36.8900	38572.0000
2012	湖南省	22154.2275	568.5200	13.5600	47.4200	39.0200	33480.0000
2012	广东省	57067.9177	3643.8700	4.9900	48.5400	46.4700	54095.0000
2012	广西壮族自治区	13035.1015	489.4300	16.6700	47.9300	35.4100	27952.0000
2012	海南省	2855.5400	238.1100	24.9200	28.1700	46.9100	32377.0000
2012	重庆市	11409.6000	620.1700	8.2400	52.3700	39.3900	38914.0000
2012	四川省	23872.8000	703.5100	13.8100	51.6600	34.5300	29608.0000
2012	贵州省	6852.2000	176.7500	13.0200	39.0800	47.9100	19710.0000
2012	云南省	10309.4700	243.0300	16.0500	42.8700	41.0900	22195.0000
2012	西藏自治区	701.0300	20.7700	11.4700	34.6400	53.8900	22936.0000
2012	陕西省	14453.6800	450.1200	9.4800	55.8600	34.6600	38564.0000
2012	甘肃省	5650.2040	146.3200	13.8100	46.0200	40.1700	21978.0000
2012	青海省	1893.5400	31.4100	9.3400	57.6900	32.9700	33181.0000
2012	宁夏回族自治区	2341.2900	87.5100	8.5200	49.5200	41.9600	36394.0000
2012	新疆维吾尔自治区	7505.3100	194.3800	17.6000	46.3900	36.0200	33796.0000
2012	北京市	17879.4000	1244.1700	.8400	22.7000	76.4600	87475.0000
2011	吉林省	10568.8300	238.6100	12.1000	53.1000	34.8000	38460.0000
2011	湖北省	19632.2600	634.6700	13.1000	50.0000	36.9000	34197.0000
2011	江苏省	49110.2700	2747.8900	6.2000	51.3000	42.4000	62290.0000
2011	四川省	21026.6800	620.6200	14.2000	52.5000	33.4000	26133.0000
2011	中国	487940.2000	28167.6000	9.2000	46.5000	44.3000	36302.0000
2011	甘肃省	5020.3700	134.2500	13.5000	47.4000	39.1000	19595.0000
2011	山西省	11237.5500	224.9100	5.7000	59.0000	35.2000	31357.0000
2011	广西壮族自治区	11720.8700	465.6800	17.5000	48.4000	34.1000	25326.0000
2011	西藏自治区	605.8300	17.4400	12.3000	34.5000	53.2000	20077.0000
2011	广东省	53210.2800	3321.3100	5.0000	49.7000	45.3000	50807.0000
2011	内蒙古自治区	14359.8800	384.7600	9.1000	56.0000	34.9000	57974.0000
2011	江西省	11702.8200	402.5100	11.9000	54.6000	33.5000	26150.0000
2011	上海市	19195.6900	1019.6800	.7000	41.3000	58.0000	82560.0000
2011	湖南省	19669.5600	518.0400	14.1000	47.6000	38.3000	29880.0000
2011	北京市	16251.9300	1074.9300	.8000	23.1000	76.1000	81658.0000
2011	重庆市	10011.3700	396.2800	8.4000	55.4000	36.2000	34500.0000
2011	辽宁省	22226.7000	876.1200	8.6000	54.7000	36.7000	50760.0000
2011	贵州省	5701.8400	160.3000	12.7000	38.5000	48.8000	16413.0000
2011	河北省	24515.7600	918.0200	11.9000	53.5000	34.6000	33969.0000
2011	山东省	45361.8500	1838.1400	8.8000	52.9000	38.3000	47335.0000
2011	陕西省	12512.3000	398.0300	9.8000	55.4000	34.8000	33464.0000
2011	河南省	26931.0300	987.0000	13.0000	57.3000	29.7000	28661.0000
2011	青海省	1670.4400	29.0500	9.3000	58.4000	32.3000	29522.0000
2011	天津市	11307.2800	411.4600	1.4000	52.4000	46.2000	85213.0000
2011	云南省	8893.1200	222.3100	15.9000	42.5000	41.6000	19265.0000
2011	安徽省	15300.6500	634.9200	13.2000	54.3000	32.5000	25659.0000
2011	海南省	2522.6600	208.7100	26.1000	28.3000	45.5000	28898.0000
2011	新疆维吾尔自治区	6610.0500	176.2200	17.2000	48.8000	34.0000	30087.0000
2011	黑龙江省	12582.0000	465.6100	13.5000	50.3000	36.2000	32819.0000
2011	浙江省	32318.8500	1677.1300	4.9000	51.2000	43.9000	59249.0000
2011	福建省	17560.1800	911.1600	9.2000	51.6000	39.2000	47377.0000
2011	宁夏回族自治区	2102.2100	79.0100	8.8000	50.2000	41.0000	33043.0000
2010	福建省	14737.1200	679.0300	9.3000	51.0000	39.7000	40025.0000
2010	云南省	7224.1800	223.4500	15.3000	44.6000	40.0000	15752.0000
2010	西藏自治区	507.4600	14.5400	13.5000	32.3000	54.2000	17027.0000
2010	甘肃省	4120.7500	110.0200	14.5000	48.2000	37.3000	16113.0000
2010	湖南省	16037.9600	464.2100	14.5000	45.8000	39.7000	24719.0000
2010	北京市	14113.5800	1006.5200	.9000	24.0000	75.1000	73856.0000
2010	海南省	2064.5000	188.3300	26.1000	27.7000	46.2000	23831.0000
2010	吉林省	8667.5800	212.3200	12.1000	52.0000	35.9000	31599.0000
2010	河北省	20394.2600	697.7900	12.6000	52.5000	34.9000	28668.0000
2010	江苏省	41425.4800	2600.9500	6.1000	52.5000	41.4000	52840.0000
2010	黑龙江省	10368.6000	370.7900	12.6000	50.2000	37.2000	27076.0000
2010	贵州省	4602.1600	139.6400	13.6000	39.1000	47.3000	13119.0000
2010	湖北省	15967.6100	564.4100	13.4000	48.6000	37.9000	27906.0000
2010	内蒙古自治区	11672.0000	309.2500	9.4000	54.6000	36.1000	47347.0000
2010	山西省	9200.8600	192.0000	6.0000	56.9000	37.1000	26283.0000
2010	广西壮族自治区	9569.8500	405.7900	17.5000	47.1000	35.4000	20219.0000
2010	安徽省	12359.3300	532.1700	14.0000	52.1000	33.9000	20888.0000
2010	陕西省	10123.4800	315.9500	9.8000	53.8000	36.4000	27133.0000
2010	青海省	1350.4300	25.4100	10.0000	55.1000	34.9000	24115.0000
2010	山东省	39169.9200	1622.1500	9.2000	54.2000	36.6000	41106.0000
2010	宁夏回族自治区	1689.6500	60.5300	9.4000	49.0000	41.6000	26860.0000
2010	新疆维吾尔自治区	5437.4700	143.4400	19.8000	47.7000	32.5000	25034.0000
2010	辽宁省	18457.2700	733.3700	8.8000	54.1000	37.1000	42355.0000
2010	江西省	9451.2600	340.5600	12.8000	54.2000	33.0000	21253.0000
2010	广东省	46013.0600	2813.9500	5.0000	50.0000	45.0000	44736.0000
2010	浙江省	27722.3100	1618.1700	4.9000	51.6000	43.5000	51711.0000
2010	中国	412119.3000	23569.9000	9.3000	46.5000	44.2000	30808.0000
2010	上海市	17165.9800	1002.5000	.7000	42.1000	57.3000	76074.0000
2010	四川省	17185.4800	558.5600	14.4000	50.5000	35.1000	21182.0000
2010	重庆市	7925.5800	266.3800	8.6000	55.0000	36.4000	27596.0000
2010	天津市	9224.4600	377.5900	1.6000	52.5000	46.0000	72994.0000
2010	河南省	23092.3600	773.2300	14.1000	57.3000	28.6000	24446.0000
2009	江苏省	34457.3000	2025.3900	6.6000	53.9000	39.6000	44744.0000
2009	浙江省	22990.3500	1316.8300	5.1000	51.8000	43.1000	44641.0000
2009	安徽省	10062.8200	497.9400	14.9000	48.7000	36.4000	16408.0000
2009	福建省	12236.5300	656.6100	9.7000	49.1000	41.3000	33840.0000
2009	江西省	7655.1800	305.9000	14.4000	51.2000	34.4000	17335.0000
